score,city,state,total_actives,new_last_30d,new_last_90d,momentum_pct,top_rep,avg_deal_price,social_proof,call_angle
24,Indianapolis,Indiana,12,0,0,0.0,mason,205.0,MM's Cheap Auto Sales INC | Xtreme Motors Inc. | Members Auto Source,12 active dealers in area. Use as social proof in opener.
23,Gainesville,Georgia,8,1,1,12.5,koby,240.0,diamond auto sales LLC | TEXAS TRUCKS AND AUTOS LLC | global motorsports,8 active dealers in area. Use as social proof in opener.
23,Fresno,California,8,1,1,12.5,heather,206.0,2K MOTORS | larry's auto sales inc | Affordable Auto Center,8 active dealers in area. Use as social proof in opener.
23,Norfolk,Virginia,8,1,1,12.5,amanda,185.0,Omega Auto Sales | Azalea Motors | GALAXY MOTORS VA LLC,8 active dealers in area. Use as social proof in opener.
22,Kalispell,Montana,3,2,3,66.7,emily,199.0,C&R Trailer Sales | C&R Trailer Sales | Elite Auto Sales of Montana,Fast growing (66.7% joined recently). Urgency play — market is moving.
22,Marietta,Georgia,10,0,1,0.0,Meryem Bismi,181.0,"Family A Automax | Georgia Auto Boutique | PRISTINE CARS & TRUCKS, INC.",10 active dealers in area. Use as social proof in opener.
22,Bakersfield,California,10,0,1,0.0,adam.c,222.0,Carson Trailer Bakersfield | Bonander Trailer Sales & Services | GOLDEN VALLEY AUTOS Inc.,10 active dealers in area. Use as social proof in opener.
22,Memphis,Tennessee,9,0,2,0.0,alexa,243.0,Smalls Automotive LLC | Carworld Memphis | Triumph Auto Sales,9 active dealers in area. Use as social proof in opener.
22,Honolulu,Hawaii,11,0,0,0.0,Claire,151.0,Lucky Owl Auto Sales | City Auto Sales | Wolfes Works LLC,11 active dealers in area. Use as social proof in opener.
21,Fontana,California,6,1,2,16.7,Austin Parker,237.0,Ramos Motors | Carcom Auto Group | Dons Auto Center,6 active dealers in area. Use as social proof in opener.
21,Buford,Georgia,6,1,2,16.7,lisa,218.0,Prestige Motors Atlanta | global imports auto sales | Iconic Auto Group,6 active dealers in area. Use as social proof in opener.
21,Winnipeg,Manitoba,6,1,2,16.7,emily,206.0,Waverley Mitsubishi | WSL Sport & Leisure | AAR-Autolist of Canada,6 active dealers in area. Use as social proof in opener.
21,Akron,Ohio,6,1,2,16.7,mary,171.0,R&J Cars | Cedar Auto Group | 5 Star Auto,6 active dealers in area. Use as social proof in opener.
20,Toledo,Ohio,3,2,2,66.7,alexa,232.0,1stprimeauto | TURBO AUTO DEALS LLC | Unlimited Auto Sales,Fast growing (66.7% joined recently). Urgency play — market is moving.
20,Bloomington,California,3,2,2,66.7,ashley,232.0,Excellence Auto Sales Inc | I AUTO SALES INC | E and M auto sales,Fast growing (66.7% joined recently). Urgency play — market is moving.
20,Newark,New Jersey,9,0,1,0.0,heather,287.0,route 21 auto mall | BUY HERE PAY HERE OF NEWARK | UNITED AUTO SALE LLC,9 active dealers in area. Use as social proof in opener.
20,Amarillo,Texas,9,0,1,0.0,william,151.0,Top of Texas Motors | Fiesta Motors | Lone Star Powersports,9 active dealers in area. Use as social proof in opener.
20,Lewisville,Texas,10,0,0,0.0,haidee,150.0,"H&H Motor Co. | All American Autohaus, Inc. | Ruiz Auto Sales LLC",10 active dealers in area. Use as social proof in opener.
19,Lexington,Kentucky,5,1,2,20.0,raymond,244.0,Big Blue Autos | Prestige Motors | United Motorsports & RV,5 active dealers in area. Use as social proof in opener.
19,Spokane Valley,Washington,5,1,2,20.0,rf007,242.0,SPOKANE VALLEY AUTO SALES | Valley Auto Liquidators | Pacific Golf & Turf Spokane,5 active dealers in area. Use as social proof in opener.
19,Kannapolis,North Carolina,5,1,2,20.0,Ethan bradford,199.0,NORTH CANNON AUTO | Car Store Auto Sales | Car Store Sales And Service,5 active dealers in area. Use as social proof in opener.
19,Hollywood,Florida,6,1,1,16.7,Claire,200.0,U Drive Motors LLC | 1DRIVE INC | Top Quality Auto Inc,6 active dealers in area. Use as social proof in opener.
18,Rockville,Maryland,2,2,2,100.0,william,299.0,"Fleming's Ultimate Garage of Rockville, LLC. | Fleming's Ultimate Garage of Rockville, LLC.",Fast growing (100.0% joined recently). Urgency play — market is moving.
18,Salem,Oregon,7,0,2,0.0,bill,230.0,SWIFT AUTO SALES | Edgewater Auto Center | Good Cars Good People,7 active dealers in area. Use as social proof in opener.
18,Riverside,California,8,0,1,0.0,mason,208.0,Highgrove Autos | califox Used Cars | EFFORTLESS MOTORS,8 active dealers in area. Use as social proof in opener.
18,Reno,Nevada,8,0,1,0.0,Meryem Bismi,212.0,"Sierra Classics & Imports, LLC | Vaughn Motor Sports | Auto Network",8 active dealers in area. Use as social proof in opener.
18,Chesapeake,Virginia,7,0,2,0.0,amanda,140.0,VENTURE MOTOR SPORTS INC | tm auto | Liberty Motors,7 active dealers in area. Use as social proof in opener.
18,Irvington,New Jersey,8,0,1,0.0,heather,285.0,Auto outlet of Irvington | general auto group | car evaluation,8 active dealers in area. Use as social proof in opener.
18,Rancho Cordova,California,8,0,1,0.0,adam.c,202.0,OAKMONT AUTO SALES | Sacramento Luxury Motors | Elegant Auto Sales,8 active dealers in area. Use as social proof in opener.
18,Laval,Quebec,8,0,1,0.0,hailey,156.0,BMW Ste-Agathe | AUTO VLAD | Automobiles MP Inc,8 active dealers in area. Use as social proof in opener.
18,Ocala,Florida,8,0,1,0.0,adam.c,204.0,Driven Auto Sales | A to z RV Supercenter | Auto Mall,8 active dealers in area. Use as social proof in opener.
17,Asheville,North Carolina,5,1,1,20.0,bill,239.0,Mountain Trailer Ventures | SKYLINE MOTORS LLC | CALE ROGERS AUTO SALES,5 active dealers in area. Use as social proof in opener.
17,Youngstown,Ohio,5,1,1,20.0,Claire,224.0,STRUTHERS AUTO MALL LLC | Precision Automotive Group | Mill Creek Auto,5 active dealers in area. Use as social proof in opener.
17,Glendale,Arizona,5,1,1,20.0,adam.c,209.0,"Quality Car Deals, LLC | Right auto and truck | Trucks and more llc",5 active dealers in area. Use as social proof in opener.
17,Metairie,Louisiana,5,1,1,20.0,mark,202.0,LA Boat Dealer | Used Car Connect | Metairie Motors,5 active dealers in area. Use as social proof in opener.
17,Stockton,California,5,1,1,20.0,adam.c,177.0,209 AUTOSALES LLC | Approved Auto Center | NOR CAL,5 active dealers in area. Use as social proof in opener.
17,Spartanburg,South Carolina,4,1,2,25.0,rf002,274.0,Mountain Motors LLC | carolina auto connection | Sports & Imports Inc,4 active dealers in area. Use as social proof in opener.
17,Alvin,Texas,3,1,3,33.3,Anthony,199.0,Ottos Auto World | OTTO 'S AUTO WORLD | OTTO 'S AUTO WORLD,Fast growing (33.3% joined recently). Urgency play — market is moving.
17,Kent,Washington,4,1,2,25.0,william,174.0,Arrow Auto Group | AMH AUTO SALES | Imperium Auto Group NW,4 active dealers in area. Use as social proof in opener.
17,Elizabeth,New Jersey,5,1,1,20.0,Austin Parker,211.0,BLUE STREAK MOTORS | King Tut Auto Group LLC | A&B Auto Group Inc,5 active dealers in area. Use as social proof in opener.
17,Madera,California,5,1,1,20.0,adam.c,187.0,Top 1 Trailers LLC | Epic RV | Shaws Auto Sales,5 active dealers in area. Use as social proof in opener.
17,Cedar Rapids,Iowa,5,1,1,20.0,emily,204.0,ATC RV Center | Fast Forward Cycles | Duffy's Classic Cars,5 active dealers in area. Use as social proof in opener.
17,Alpharetta,Georgia,5,1,1,20.0,lindsey,189.0,STAR MOTORS LLC | The Crew Auto Sales inc | MJ AUTO BROKER,5 active dealers in area. Use as social proof in opener.
16,Albuquerque,New Mexico,7,0,1,0.0,bill,285.0,CU Auto Sales | Five Star Auto Sales Inc | Garcia INFINITI,7 active dealers in area. Use as social proof in opener.
16,Charlotte,North Carolina,7,0,1,0.0,bill,228.0,KID AUTO LLC | Big Tex Trailer World - Charlotte | Twins Motors,7 active dealers in area. Use as social proof in opener.
16,London,Ontario,7,0,1,0.0,Anthony,229.0,Adventure RV Centre | Hiemstra Trailer Sales | Great Escape RV,7 active dealers in area. Use as social proof in opener.
16,Tallahassee,Florida,6,0,2,0.0,rf005,249.0,first class auto inc | Drivenow | Trailer World Southeast,6 active dealers in area. Use as social proof in opener.
16,Pompano Beach,Florida,7,0,1,0.0,lisa,188.0,Marciano Auto Group | Meta Wholesale Inc | Complete Marine,7 active dealers in area. Use as social proof in opener.
16,Green Bay,Wisconsin,8,0,0,0.0,rf002,179.0,Neuville's Nearly New Auto & Truck | PAPERLAND MOTORS | Williams RV,8 active dealers in area. Use as social proof in opener.
16,Hayward,California,8,0,0,0.0,ashley,205.0,"Brad Benson motorsports | COAST TO COAST MOTORS, INC. | autodeals",8 active dealers in area. Use as social proof in opener.
16,Louisville,Kentucky,8,0,0,0.0,bill,236.0,4th Street Auto | Louisville Cars & Trucks | Harley Davidson Louisville,8 active dealers in area. Use as social proof in opener.
16,Plano,Texas,8,0,0,0.0,haidee,127.0,All Star Auto | Auto Nova | Upgrade Auto Group,8 active dealers in area. Use as social proof in opener.
15,Williston,Vermont,4,1,1,25.0,alexa,174.0,Md Motors | Adam Bufano | MD Motors,4 active dealers in area. Use as social proof in opener.
15,Saint Louis,Missouri,4,1,1,25.0,travis cole,180.0,StarMotorsSTL | Gem Motors LLC | MIDWEST AUTOPLEX,4 active dealers in area. Use as social proof in opener.
15,Kennewick,Washington,3,1,2,33.3,chris walker,266.0,Archibalds | Warner Auto and RV Center LLc | paradise auto sales,Fast growing (33.3% joined recently). Urgency play — market is moving.
15,Lawrenceville,Georgia,3,1,2,33.3,kyla carter,232.0,Chrisdivinity usa auto inc | Pineda Ramirez Auto Sales LLC | Global Auto Gallery,Fast growing (33.3% joined recently). Urgency play — market is moving.
15,Minneapolis,Minnesota,4,1,1,25.0,travis cole,158.0,Time Motor Sales | Metro Motor Sales | Eriks Auto LLC,4 active dealers in area. Use as social proof in opener.
15,Hurricane,Utah,3,1,2,33.3,adam.c,152.0,Trailer Source | Trailer Source | Hurricane Car Lot,Fast growing (33.3% joined recently). Urgency play — market is moving.
15,Fort Wayne,Indiana,4,1,1,25.0,william,222.0,Evans Toyota | Raptor Automotive | Auto Vault LLC,4 active dealers in area. Use as social proof in opener.
15,Myrtle Beach,South Carolina,4,1,1,25.0,mason,199.0,Affordable Automobiles LLC | FIRST CLASS AUTO SALES LLC | The Car Store,4 active dealers in area. Use as social proof in opener.
15,Fargo,North Dakota,3,1,2,33.3,bill,232.0,Wheels Powersports | Wallwork Truck Center,Fast growing (33.3% joined recently). Urgency play — market is moving.
15,Arlington,Virginia,4,1,1,25.0,maria,178.0,Prime Motors LLC | Prime Motors LLC | Prime Motors LLC,4 active dealers in area. Use as social proof in opener.
14,Englewood,Colorado,6,0,1,0.0,amanda,218.0,Royal Automotive | MILE HIGH AUTO SALES | Denver Auto Outlet,6 active dealers in area. Use as social proof in opener.
14,Longwood,Florida,6,0,1,0.0,lisa,191.0,"Longwood Auto LLC | Joel's Auto Sales | BOOMER'S TRUCKS & SUV'S, LLC.",6 active dealers in area. Use as social proof in opener.
14,Roanoke,Virginia,6,0,1,0.0,dave,181.0,Local Auto Sales LLC | A1 Car Sales LLC | Best Auto Sales INC,6 active dealers in area. Use as social proof in opener.
14,Chantilly,Virginia,6,0,1,0.0,heather,229.0,Pm car Detailing | Fair Oaks Motors inc | Staver Auto Group,6 active dealers in area. Use as social proof in opener.
14,Sioux Falls,South Dakota,7,0,0,0.0,bill,209.0,Northland Motorcars | Venerids Powerhouse | Vern Eide Motoplex,7 active dealers in area. Use as social proof in opener.
14,Billings,Montana,7,0,0,0.0,bill,291.0,Cy-Corp Trailer | Dakota Deo Singh | Liberty Motors,7 active dealers in area. Use as social proof in opener.
14,Atlanta,Georgia,7,0,0,0.0,bill,125.0,Motorvation Atlanta | El Compadre Trucks | Drew International,7 active dealers in area. Use as social proof in opener.
14,Carrollton,Texas,7,0,0,0.0,amanda,249.0,Prosperity Motors Of Texas | Midway Cars Direct | PERFORMANCE AUTOS,7 active dealers in area. Use as social proof in opener.
14,Snellville,Georgia,7,0,0,0.0,maria,252.0,DCKG Auto Group Llc | alpha car land | Alpha Car Land,7 active dealers in area. Use as social proof in opener.
14,Anaheim,California,7,0,0,0.0,bill,135.0,"LYK Auto Sales | Auto Hub, Inc. | The Boat House of Anaheim Inc",7 active dealers in area. Use as social proof in opener.
13,Hope Mills,North Carolina,2,1,2,50.0,adam.c,199.0,5W Trailers | 5 W Trailer NC,Fast growing (50.0% joined recently). Urgency play — market is moving.
13,Okawville,Illinois,2,1,2,50.0,adam.c,199.0,5W Trailers | 5 W Trailer IL,Fast growing (50.0% joined recently). Urgency play — market is moving.
13,Springville,Utah,3,1,1,33.3,adam.c,226.0,Trailer Source Springville | Century Marine - Utah | Trailer Source Springville,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Moses Lake,Washington,3,1,1,33.3,lisa,266.0,McFadden Family Motors | moses lake family auto | la auto rack llc,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Lehi,Utah,3,1,1,33.3,adam.c,192.0,Trailer Source | Hardman Car Company | Trailer Source,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Scarborough,Ontario,3,1,1,33.3,Claire,151.0,AAA Auto Sales | Auto Select | Frontline Motors Inc,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Medina,Ohio,3,1,1,33.3,Claire,162.0,RCD Sales | CENTRAL AUTO GROUP INC | Southern Select Auto Sales Inc.,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Middletown,Pennsylvania,3,1,1,33.3,alexa,229.0,JoyRide Auto Traders | Pine Manor Auto sales LLC | JoyRide Auto Traders,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Waukegan,Illinois,3,1,1,33.3,hazel,232.0,Driven Auto of Waukegan | Motorsport Auto Sales | Driven Auto Of Waukegan,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,New York,New York,3,1,1,33.3,bill,166.0,Buffalo Harley Davidson | South Shore CDJR Sales | Luxury Auto Group,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Bensalem,Pennsylvania,3,1,1,33.3,john harris,229.0,Malik Autohaus llc | PA AUTO MALL INC | AMERICAN AUTO BENSALEM INC,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Lagrange,Georgia,3,1,1,33.3,rf007,266.0,Interstate Motors | Maxwell Motors LLC | Nissan of LaGrange,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Suffolk,Virginia,3,1,1,33.3,travis cole,249.0,"Peninsula Auto Gallery | Suffolk Auto Exchange Center, Inc. | RydeTime Auto",Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Dunn,North Carolina,3,1,1,33.3,lisa,162.0,IDEAL AUTO SALES | Elite Auto Sales of Dunn | Barefoot's Auto Mart Inc,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Broken Arrow,Oklahoma,3,1,1,33.3,adam.c,206.0,Central Trailer Sales Inc | FRIENDSHIPAUTO | DDC Motors,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Pataskala,Ohio,3,1,1,33.3,heather,166.0,Bello Auto Sales llc | Nina Auto sales and service LLC | RCD RV Pataskala,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Lindon,Utah,3,1,1,33.3,adam.c,174.0,ProSteel Cutoms | Asays Autos Llc | Planet Auto Sales,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Thousand Oaks,California,2,1,2,50.0,rf005,249.0,Evans Auto Brokerage | Conejo Wholesale Auto & RV,Fast growing (50.0% joined recently). Urgency play — market is moving.
13,Marion,Iowa,3,1,1,33.3,rf005,158.0,Houdek Auto Center | Houdek Auto Center | Hawkeye Auto,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,St. George,Utah,3,1,1,33.3,bill,232.0,Rimer's Trailer Sales | Marine United | Moto United,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Clarksville,Tennessee,3,1,1,33.3,adam.c,232.0,Wolff Auto Sales | Dabbs Midsouth Auto Sales | Trailer Mart Inc,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Covina,California,3,1,1,33.3,Anthony,199.0,Future Walker Cars | California Motor Cars | Rocket car co,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Carol Stream,Illinois,3,1,1,33.3,rf006,166.0,JANI MOTORS INC. | RELIABLE AUTOHAUS | OFF LEASE CARS INC,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Fayetteville,North Carolina,3,1,1,33.3,emily,266.0,Baker American Cycles | hazzi auto sales | Elite Auto Sales of Fayetteville,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Sumter,South Carolina,3,1,1,33.3,william,241.0,Pay Day Auto Sales | Redline Powersports | SUMTER AUTO SOURCE LLC,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Sherman,Texas,3,1,1,33.3,william,159.0,ReliaCars LLC | Gearhead Classics | Plano Auto Group,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Hasbrouck Heights,New Jersey,3,1,1,33.3,heather,204.0,Optimum Motors LLC | a1automall llc | NUM1BER AUTO SALES,Fast growing (33.3% joined recently). Urgency play — market is moving.
